loss/actor,loss/critic1,loss/critic2,timestep
2.1489993348950483e-05,-1.0,-1.0,88000
2.0826790125283818e-05,-1.0,-1.0,89000
2.1111587409905028e-05,-1.0,-1.0,90000
2.1034989646068405e-05,-1.0,-1.0,91000
2.088353722137988e-05,-1.0,-1.0,92000
2.092055269986304e-05,-1.0,-1.0,93000
2.072084776955308e-05,-1.0,-1.0,94000
2.0475566221648425e-05,-1.0,-1.0,95000
2.049253723635049e-05,-1.0,-1.0,96000
2.0502682398728193e-05,-1.0,-1.0,97000
2.032985977166389e-05,-1.0,-1.0,98000
1.9846726208925212e-05,-1.0,-1.0,99000
1.9881118183548114e-05,-1.0,-1.0,100000
1.9972710482761604e-05,-1.0,-1.0,101000
1.9792701694314042e-05,-1.0,-1.0,102000
1.9491947505230176e-05,-1.0,-1.0,103000
2.0183981101581605e-05,-1.0,-1.0,104000
1.9084715164353867e-05,-1.0,-1.0,105000
1.9075025123129315e-05,-1.0,-1.0,106000
1.9638309735455475e-05,-1.0,-1.0,107000
1.9114206369522437e-05,-1.0,-1.0,108000
1.922591175116393e-05,-1.0,-1.0,109000
1.8943091973596902e-05,-1.0,-1.0,110000
1.8633389124261156e-05,-1.0,-1.0,111000
1.884023073762359e-05,-1.0,-1.0,112000
1.9042287871343464e-05,-1.0,-1.0,113000
1.885320465498806e-05,-1.0,-1.0,114000
1.8594370258142558e-05,-1.0,-1.0,115000
1.846141211808569e-05,-1.0,-1.0,116000
1.8381695519565233e-05,-1.0,-1.0,117000
1.8386383719189286e-05,-1.0,-1.0,118000
1.849263901294764e-05,-1.0,-1.0,119000
1.8017875737314128e-05,-1.0,-1.0,120000
1.822411898956487e-05,-1.0,-1.0,121000
1.8006506375058933e-05,-1.0,-1.0,122000
1.7847831533799757e-05,-1.0,-1.0,123000
1.805539596898601e-05,-1.0,-1.0,124000
1.7985799186135402e-05,-1.0,-1.0,125000
1.7608636361728677e-05,-1.0,-1.0,126000
1.7863205918729396e-05,-1.0,-1.0,127000
1.74776785897848e-05,-1.0,-1.0,128000
1.7628819847232052e-05,-1.0,-1.0,129000
1.7484439543295597e-05,-1.0,-1.0,130000
1.7424877504709014e-05,-1.0,-1.0,131000
1.7641398919295152e-05,-1.0,-1.0,132000
1.747005392644499e-05,-1.0,-1.0,133000
1.7001507651002593e-05,-1.0,-1.0,134000
1.7531381811750174e-05,-1.0,-1.0,135000
1.709764009228819e-05,-1.0,-1.0,136000
1.7115174367063436e-05,-1.0,-1.0,137000
1.7056928070815013e-05,-1.0,-1.0,138000
1.679812830479929e-05,-1.0,-1.0,139000
1.7118035331805025e-05,-1.0,-1.0,140000
1.6704835311429595e-05,-1.0,-1.0,141000
1.688260694936616e-05,-1.0,-1.0,142000
1.6754694481278446e-05,-1.0,-1.0,143000
1.686136720218199e-05,-1.0,-1.0,144000
1.65734807205808e-05,-1.0,-1.0,145000
1.6368620517823698e-05,-1.0,-1.0,146000
1.6705016412743106e-05,-1.0,-1.0,147000
1.6560738684347574e-05,-1.0,-1.0,148000
1.610455789432307e-05,-1.0,-1.0,149000
1.6192508891435895e-05,-1.0,-1.0,150000
